hash,author,date,category,summary
3709c4a9a87e6ce8c26dc4a951e1df52ac9ecad0,David Lord,2026-01-24 18:58:45-08:00,refactor/others,update ruff hook and noqa
709f83f6a32da8cdaec196d7b785ab6827322008,Christian Clauss,2025-11-05 18:13:26+01:00,feature,pre-commit: Add codespell
30da640ffe23b6e461fa91d387ffea6b9d9fa847,ADITYA SAH,2026-01-25 08:16:56+05:30,refactor/others,clarify 415 vs 400 errors for request.json (#5827)
25642fd1fd65985fc98f95e64bc2c7ff353d6c2b,David Lord,2026-01-24 18:25:31-08:00,bugfix,fix annotation for select_jinja_autoescape (#5808)
809d5a8869d4ffe8656680b2438b10f7c8845613,David Lord,2026-01-24 17:18:35-08:00,refactor/others,redirect defaults to 303 (#5898)
eca5fd1dfdc614c2df876cc32018a7d71f84ea82,David Lord,2026-01-24 16:50:54-08:00,refactor/others,redirect defaults to 303
eb58d862cc4a8f31a369b6e9ad1724e9e642f13f,David Lord,2026-01-24 17:15:54-08:00,refactor/others,Merge branch 'stable'
64dd0809c2fc732ed30539235232a268f9bd96ac,David Lord,2026-01-24 17:14:20-08:00,refactor/others,update dev dependencies
97bddc1f61a59522386d36ec37b2b220a01de262,David Lord,2026-01-05 08:49:46-08:00,refactor/others,update dev dependencies
ad68a12645d96fe51558da13e18544ba458d7af0,David Lord,2025-11-28 11:05:47-08:00,refactor/others,drop experimental 3.13t test env
2579ce9f18e67ec3213c6eceb5240310ccd46af8,David Lord,2025-11-17 10:05:51-08:00,refactor/others,Merge branch 'stable'
607d1948b8747776f4a45d5b7c7eaeb57b6b9f80,David Lord,2025-11-17 10:05:39-08:00,refactor/others,split free threading envs
218880c7fdedee139ac09caaf93da469b4dba14c,David Lord,2025-11-17 10:03:42-08:00,refactor/others,Merge branch 'stable'
917000097fc17875104176e2c71318ab25c508c3,David Lord,2025-11-17 10:02:53-08:00,refactor/others,test py3.14
96a01e420b741c59af59301f15612fde39bfb39d,David Lord,2025-11-17 09:45:56-08:00,refactor/others,Merge branch 'stable'
da6d075dfde71b2e2a64f39b29ba957d5ffb00b0,David Lord,2025-11-17 09:43:40-08:00,refactor/others,update dev dependencies
70d04b5a2620705011e65f79ccfd52caa86f5d6a,David Lord,2025-11-17 08:49:53-08:00,refactor/others,pass context through dispatch methods (#5818)
88a65bb374e87a18816a780dbd4ae69d307aa85c,Hynek Schlawack,2025-10-14 22:26:26+02:00,bugfix,Docs typo/markup fixes (#5829)
6a64969009bf1898bd302e6a9633f71942523f7f,David Lord,2025-09-19 16:58:48-07:00,refactor/others,pass context through dispatch methods
adf363679da2d9a5ddc564bb2da563c7ca083916,David Lord,2025-09-19 16:45:27-07:00,refactor/others,merge app and request context (#5812)
c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,David Lord,2025-09-12 14:52:03-07:00,refactor/others,merge app and request context
dbd4c2882593f6118103120aa96fa9acdf7deedb,subhajitsaha01,2025-09-06 22:01:22+05:30,refactor/others,Changed the static annotated type of select_jinja_
330123258e8c3dc391cbe55ab1ed94891ca83af3,David Lord,2025-08-19 14:09:56-07:00,refactor/others,Merge branch 'stable'
85793d6c223dd845e8f218403a5ced83041d37e1,David Lord,2025-08-19 14:03:43-07:00,refactor/others,release version 3.1.2 (#5800)
2c1b30d0503cfb064f1cb252e6614a06915a362a,David Lord,2025-08-19 13:42:11-07:00,refactor/others,release version 3.1.2
1292419ddfc6a14fc7f85b5ed7efcc2d215f1ad3,David Lord,2025-08-19 13:56:49-07:00,refactor/others,Update GitHub Actions workflow for artifact handli
4dd52ca9c768c9b6d04180f0547d6f4b6e34f211,Grant Birkinbine,2025-08-06 21:44:28-07:00,refactor/others,Update GitHub Actions workflow for artifact handli
55c62556571ee46a94da174643b50ece06edead4,David Lord,2025-08-19 13:41:24-07:00,refactor/others,update dev dependencies
ed1c9e953e2d67c0994e32e6c8d878291e36d4f7,David Lord,2025-08-19 12:36:00-07:00,refactor/others,support call template_filter without parens (#5736
edebd3704437f19b5b137eaffe97130fe817d144,David Lord,2025-08-19 12:29:47-07:00,documentation,"rewrite docs, clean up typing for template decorat"
daf1510a4bda652ac2cfca03ec5567b03ddf8bf1,kadai0308,2025-05-17 12:17:18+08:00,refactor/others,use template_filter without parens
d8259eb11900285af9b80b0fa47f841174c054e3,David Lord,2025-08-19 10:43:16-07:00,refactor/others,use Jinja name consistently
38b4c1e19b50494cfcdc9332899e09b7fed34979,David Lord,2025-08-19 08:23:51-07:00,refactor/others,refactor stream_with_context for async views (#579
9822a0351574790cb66c652fcc396ad7aa2b09d8,David Lord,2025-08-19 08:18:55-07:00,refactor/others,refactor stream_with_context for async views
49b7e7bc8fb69d605719991d1c0a99fcee689053,David Lord,2025-08-18 11:44:57-07:00,documentation,security docs for TRUSTED_HOSTS (#5798)
b228ca3d87745b746d904a2108429617a814ffda,David Lord,2025-08-18 11:42:48-07:00,documentation,security docs for TRUSTED_HOSTS
ff64079a516c269f171ababf3d92b86886a62ffd,David Lord,2025-08-18 10:51:12-07:00,refactor/others,update flask-talisman link
1dfd7cd5555d9e62a2e198a131c366242e724b35,David Lord,2025-08-18 10:26:12-07:00,refactor/others,use IO[bytes] instead of BinaryIO for wider compat
